"track.album.name","track.name","geniusSongName"
"Kidz Bop","Oops...I Did It Again",NA
"Kidz Bop","Livin' La Vida Loca",NA
"Kidz Bop","Blue (Da Ba Dee)",NA
"Kidz Bop 2","Turn Off The Light",NA
"Kidz Bop 3","Hey Baby",NA
"Kidz Bop 3",NA,"Happy"
"Kidz Bop 3",NA,"Girlfriend"
"Kidz Bop 3",NA,"Hero"
"Kidz Bop 4","Sk8er Boi",NA
"Kidz Bop 4","Jenny From The Block",NA
"Kidz Bop 4","Bring Me To Life",NA
"Kidz Bop 4","The Anthem",NA
"Kidz Bop 4","The Game Of Love",NA
"Kidz Bop 4","Cry Me A River",NA
"Kidz Bop 4","Intuition",NA
"Kidz Bop 4",NA,"The Middle"
"Kidz Bop 5","Crazy In Love",NA
"Kidz Bop 5","Are You Happy Now?",NA
"Kidz Bop 5","Invisible",NA
"Kidz Bop 5","It's My Life",NA
"Kidz Bop 5","Why Don't You And I",NA
"Kidz Bop 5","Someday",NA
"Kidz Bop 5","There's Gotta Be",NA
"Kidz Bop 5",NA,"Señorita"
"Kidz Bop 5","Never Leave You",NA
"Kidz Bop 5","Me Against The Music",NA
"Kidz Bop 5","Perfect",NA
"Kidz Bop 5","Cinderella",NA
"Kidz Bop 6",NA,"With You"
"Kidz Bop 6","Me, Myself, And I",NA
"Kidz Bop 6","Hold On",NA
"Kidz Bop 6","The First Cut Is The Deepest",NA
"Kidz Bop 6",NA,"Burn"
"Kidz Bop 6","Meant To Live",NA
"Kidz Bop 6","I'm Still In Love With You",NA
"Kidz Bop 6","Beautiful - Dance Remix",NA
"Kidz Bop 6","All Star - Dance Remix",NA
"Kidz Bop 6","Sk8er Boi - Dance Remix",NA
"Kidz Bop 7","Pieces Of Me",NA
"Kidz Bop 7","Leave (Get Out)",NA
"Kidz Bop 7","On The Way Down",NA
"Kidz Bop 7","Accidentally In Love",NA
"Kidz Bop 7","Dare You To Move",NA
"Kidz Bop 7","Welcome To My Life",NA
"Kidz Bop 8","I Don't Want To Be",NA
"Kidz Bop 8","Obsession",NA
"Kidz Bop 8","Boulevard Of Broken Dreams",NA
"Kidz Bop 8","Rich Girl",NA
"Kidz Bop 8","Vertigo",NA
"Kidz Bop 8","1, 2 Step",NA
"Kidz Bop 8","Over And Over",NA
"Kidz Bop 8","Nobody's Home",NA
"Kidz Bop 8","Incomplete",NA
"Kidz Bop 8",NA,"Let Me Go"
"Kidz Bop 8","Take Me Out",NA
"Kidz Bop 9","Don't Lie",NA
"Kidz Bop 9","Wake Me Up When September Ends",NA
"Kidz Bop 9","Listen To You Heart",NA
"Kidz Bop 9","Just The Girl",NA
"Kidz Bop 9","Pon De Replay",NA
"Kidz Bop 9",NA,"Photograph"
"Kidz Bop 9","These Words",NA
"Kidz Bop 9","You And Me",NA
"Kidz Bop 9","Feel Good Inc.",NA
"Kidz Bop 9","Chariot",NA
"Kidz Bop 9",NA,"Boyfriend"
"Kidz Bop 9","Speed Of Sound",NA
"Kidz Bop 9","We Belong Together",NA
"Kidz Bop 9","Wake Up",NA
"Kidz Bop 9","Axel F (The Frog Song)",NA
"Kidz Bop 10","Because Of You",NA
"Kidz Bop 10","L.O.V.E.",NA
"Kidz Bop 10","Where'd You Go?",NA
"Kidz Bop 10","For You I Will (Confidence)",NA
"Kidz Bop 10","What's Left Of Me",NA
"Kidz Bop 11","Over My Head (Cable Car)",NA
"Kidz Bop 11","What Hurts The Most",NA
"Kidz Bop 11","Waiting On The World To Change",NA
"Kidz Bop 11","Come Back To Me",NA
"Kidz Bop 11","Lips Of An Angel",NA
"Kidz Bop 12","What Goes Around, Comes Around",NA
"Kidz Bop 12","Cupid's Chokehold / Breakfast In America",NA
"Kidz Bop 12","How To Save A Life",NA
"Kidz Bop 12","With Love",NA
"Kidz Bop 13","Party Like A Rockstar",NA
"Kidz Bop 13","I Don't Wanna Be In Love (Dance Floor Anthem)",NA
"Kidz Bop 13","Wait For You",NA
"Kidz Bop 13",NA,"SOS"
"Kidz Bop 14",NA,"See You Again"
"Kidz Bop 14","Stop And Stare",NA
"Kidz Bop 14","When You Look Me In The Eyes",NA
"Kidz Bop 14","Pocketful Of Sunshine",NA
"Kidz Bop 14","Teardrops On My Guitar",NA
"Kidz Bop 14",NA,"Sorry"
"Kidz Bop 15","Burnin Up",NA
"Kidz Bop 15","One Step At A Time",NA
"Kidz Bop 15","Better In Time",NA
"Kidz Bop 15","Take A Bow",NA
"Kidz Bop 16","How Do You Sleep?",NA
"Kidz Bop 16","LOL",NA
"Kidz Bop 17","Party In The USA",NA
"Kidz Bop 17","Knock You Down",NA
"Kidz Bop 17","Say Hey (I Love You)",NA
"Kidz Bop 17","Sounds Like A Hit",NA
"Kidz Bop 17","Shine On",NA
"Kidz Bop 18","Naturally",NA
"Kidz Bop 18","What Ya Want From Me",NA
"Kidz Bop 18","Nothin’ On You",NA
"Kidz Bop 18","Single Ladies",NA
"Kidz Bop 19","DJ Got Us Falling In Love",NA
"Kidz Bop 19","Just The Way You Are",NA
"Kidz Bop 19","Just A Dream",NA
"Kidz Bop 19","Somebody To Love",NA
"Kidz Bop 20","Written In The Stars",NA
"Kidz Bop 20","Perfect",NA
"Kidz Bop 20",NA,"Never Say Never"
"Kidz Bop 21","You Make Me Feel…",NA
"Kidz Bop 21",NA,"Fly"
"Kidz Bop 22","Drive By",NA
"Kidz Bop 22","Part Of Me",NA
"Kidz Bop 22","Somebody That I Used To Know",NA
"Kidz Bop 22","Tonight Is The Night",NA
"Kidz Bop 22","Set Fire To The Rain",NA
"Kidz Bop 23",NA,"Let Me Love You"
"Kidz Bop 23",NA,"Home"
"Kidz Bop 24","Don't Stop The Party",NA
"Kidz Bop 25","Still Into You",NA
"Kidz Bop 25","Safe And Sound",NA
"Kidz Bop 25","The Fox (What Does The Fox Say?)",NA
"Kidz Bop 25",NA,"Burn"
"Kidz Bop 25","All Around The World",NA
"Kidz Bop 25","Everything Has Changed",NA
"Kidz Bop 26","Timber",NA
"Kidz Bop 26","Story Of My Life",NA
"Kidz Bop 26","Sing",NA
"Kidz Bop 26","Counting Stars",NA
"Kidz Bop 26","Team",NA
"Kidz Bop 26","Not A Bad Thing",NA
"Kidz Bop 26","Ain't It Fun",NA
"Kidz Bop 26","The Man",NA
"Kidz Bop 27","Say Something - KB Live Version",NA
"Kidz Bop 28","Blank Space",NA
"Kidz Bop 28","Lips Are Movin",NA
"Kidz Bop 28","Love Me Harder",NA
"Kidz Bop 28","Steal My Girl",NA
"Kidz Bop 28","The Heart Wants What It Wants",NA
"Kidz Bop 28","Heroes (We Could Be)",NA
"Kidz Bop 28","I'm Not The Only One",NA
"Kidz Bop 28","Thinking Out Loud",NA
"Kidz Bop 29","Sugar",NA
"Kidz Bop 29","Style",NA
"Kidz Bop 29","Time Of Our Lives",NA
"Kidz Bop 29","Love Me Like You Do",NA
"Kidz Bop 29","Want To Want Me",NA
"Kidz Bop 29","Outside",NA
"Kidz Bop 29","Shut Up And Dance",NA
"Kidz Bop 29","I Want You To Know",NA
"Kidz Bop 29","Dear Future Husband",NA
"Kidz Bop 29","Centuries",NA
"Kidz Bop 29","FourFiveSeconds",NA
"Kidz Bop 29","Honey I'm Good",NA
"Kidz Bop 30","I Don’t Like It, I Love It",NA
"Kidz Bop 30","Watch Me (Whip / Nae Nae)",NA
"KIDZ BOP 31","What Do You Mean?",NA
"KIDZ BOP 31","Ex's And Oh's",NA
"KIDZ BOP 31",NA,"Hello"
"KIDZ BOP 32","NO",NA
"KIDZ BOP 32","Don’t Let Me Down",NA
"KIDZ BOP 32","Life Of The Party",NA
"KIDZ BOP 33","Cheap Thrills",NA
"KIDZ BOP 33","Ride",NA
"KIDZ BOP 33","Me Myself & I",NA
"KIDZ BOP 33","Don’t Mind",NA
"KIDZ BOP 33","Never Be Like You",NA
"KIDZ BOP 33","Cold Water",NA
"KIDZ BOP 33","Sit Still, Look Pretty",NA
"KIDZ BOP 33","Lost Boy",NA
"KIDZ BOP 33","Try Everything",NA
"KIDZ BOP 34",NA,"Let Me Love You"
"KIDZ BOP 34","Don’t Wanna Know",NA
"KIDZ BOP 34","That’s My Girl",NA
"KIDZ BOP 34","We Don’t Talk Anymore",NA
"KIDZ BOP 35","Love On The Brain",NA
"KIDZ BOP 35","Castle On The Hill",NA
"KIDZ BOP 35","Chained To The Rhythm",NA
"KIDZ BOP 36","I'm The One",NA
"KIDZ BOP 36","Honest",NA
"KIDZ BOP 36",NA,"Bad Liar"
"KIDZ BOP 36","Crying In The Club",NA
"KIDZ BOP 36","2U",NA
"KIDZ BOP 36","Juju On That Beat",NA
"KIDZ BOP 36","How Far I’ll Go",NA
"KIDZ BOP 36","Let Me Love You - Live",NA
"KIDZ BOP 37","Bad At Love",NA
"KIDZ BOP 37","Perfect",NA
"KIDZ BOP 37","Too Good At Goodbyes",NA
"KIDZ BOP 37","...Ready For It?",NA
"KIDZ BOP 37","Good Old Days",NA
"KIDZ BOP 39 (Deluxe Edition)",NA,"Beautiful"
"KIDZ BOP 39 (Deluxe Edition)","Lost In Japan",NA
"KIDZ BOP 39 (Deluxe Edition)","Back To You",NA
"KIDZ BOP 39 (Deluxe Edition)","Delicate",NA
"KIDZ BOP 39 (Deluxe Edition)","I'm A Mess",NA
"KIDZ BOP 39 (Deluxe Edition)","Remind Me To Forget",NA
"KIDZ BOP 39 (Deluxe Edition)","Alone",NA
"KIDZ BOP 39 (Deluxe Edition)","Done For Me",NA
"KIDZ BOP 40","How Do You Sleep?",NA
"KIDZ BOP 40","Thank U, Next - US Version",NA
"KIDZ BOP 40",NA,"Cool"
"KIDZ BOP 40","Nothing Breaks Like A Heart - US Version",NA
"KIDZ BOP 40","When The Party's Over",NA
"KIDZ BOP 40","I've Been Waiting",NA
"KIDZ BOP 40","Nothing Breaks Like A Heart - UK Version",NA
