"category","badword","inSongs","censored","pctCensored"
"alcohol & drugs","addict",8,4,0.5
"alcohol & drugs","alcohol",0,0,NA
"alcohol & drugs","bar",5,3,0.6
"alcohol & drugs","bars",2,1,0.5
"alcohol & drugs","beer",1,0,0
"alcohol & drugs","blow",28,7,0.25
"alcohol & drugs","blunt",0,0,NA
"alcohol & drugs","bottle",11,7,0.636363636363636
"alcohol & drugs","bubbles",1,1,1
"alcohol & drugs","champagne",11,9,0.818181818181818
"alcohol & drugs","chronic",0,0,NA
"alcohol & drugs","cigarette",7,7,1
"alcohol & drugs","cocaine",0,0,NA
"alcohol & drugs","coke",1,0,0
"alcohol & drugs","crystal",3,0,0
"alcohol & drugs","dope",3,3,1
"alcohol & drugs","drank",4,2,0.5
"alcohol & drugs","drink",32,20,0.625
"alcohol & drugs","drug",4,3,0.75
"alcohol & drugs","drunk",17,17,1
"alcohol & drugs","ecstasy",2,1,0.5
"alcohol & drugs","gin",1,1,1
"alcohol & drugs","hennessy",1,1,1
"alcohol & drugs","henny",3,3,1
"alcohol & drugs","heroine",0,0,NA
"alcohol & drugs","high",52,18,0.346153846153846
"alcohol & drugs","holy",0,0,NA
"alcohol & drugs","hookah",2,1,0.5
"alcohol & drugs","ice",10,3,0.3
"alcohol & drugs","intoxicate",2,2,1
"alcohol & drugs","jack",4,2,0.5
"alcohol & drugs","juice",4,3,0.75
"alcohol & drugs","lighter",3,1,0.333333333333333
"alcohol & drugs","lighters",1,1,1
"alcohol & drugs","liquor",5,5,1
"alcohol & drugs","marijuana",1,1,1
"alcohol & drugs","martini",1,1,1
"alcohol & drugs","mdma",0,0,NA
"alcohol & drugs","meth",0,0,NA
"alcohol & drugs","molly",2,2,1
"alcohol & drugs","moonshine",1,1,1
"alcohol & drugs","overdose",5,5,1
"alcohol & drugs","pill",3,1,0.333333333333333
"alcohol & drugs","pills",2,2,1
"alcohol & drugs","pot",2,1,0.5
"alcohol & drugs","pour",10,2,0.2
"alcohol & drugs","prosecco",0,0,NA
"alcohol & drugs","puff",1,1,1
"alcohol & drugs","rum",2,1,0.5
"alcohol & drugs","sake",2,0,0
"alcohol & drugs","sip",6,2,0.333333333333333
"alcohol & drugs","sippin",7,3,0.428571428571429
"alcohol & drugs","smoke",7,5,0.714285714285714
"alcohol & drugs","smoking",5,4,0.8
"alcohol & drugs","sober",3,3,1
"alcohol & drugs","spirits",2,1,0.5
"alcohol & drugs","tequila",2,2,1
"alcohol & drugs","vodka",3,1,0.333333333333333
"alcohol & drugs","whiskey",2,2,1
"alcohol & drugs","wine",4,4,1
"identity","gay",1,1,1
"identity","gentleman",2,0,0
"identity","gentlemen",0,0,NA
"identity","lesbian",1,1,1
"identity","man",70,27,0.385714285714286
"identity","men",7,4,0.571428571428571
"identity","transgender",1,1,1
"identity","woman",11,8,0.727272727272727
"identity","women",3,3,1
"other","amen",5,2,0.4
"other","amnesia",1,0,0
"other","antidepressor",0,0,NA
"other","ball",14,4,0.285714285714286
"other","baller",0,0,NA
"other","ballin",3,2,0.666666666666667
"other","bipolar",1,1,1
"other","bleed",9,4,0.444444444444444
"other","bless",11,5,0.454545454545455
"other","blood",13,2,0.153846153846154
"other","bloodstain",1,1,1
"other","bomb",0,0,NA
"other","bullet",8,7,0.875
"other","casino",0,0,NA
"other","christ",0,0,NA
"other","christian",2,1,0.5
"other","club",19,5,0.263157894736842
"other","clubs",2,0,0
"other","coma",1,1,1
"other","counterfeit",1,1,1
"other","crazier",0,0,NA
"other","craziest",0,0,NA
"other","crazy",57,5,0.087719298245614
"other","creep",9,3,0.333333333333333
"other","crime",4,3,0.75
"other","criminal",0,0,NA
"other","cut",21,6,0.285714285714286
"other","cuts",3,2,0.666666666666667
"other","cutthroat",1,1,1
"other","cuttin",4,3,0.75
"other","dead",18,4,0.222222222222222
"other","death",8,3,0.375
"other","demon",3,2,0.666666666666667
"other","devil",4,0,0
"other","diablo",1,1,1
"other","die",30,15,0.5
"other","dies",1,1,1
"other","evil",6,1,0.166666666666667
"other","faith",7,1,0.142857142857143
"other","fetish",1,1,1
"other","fight",55,1,0.0181818181818182
"other","gang",5,3,0.6
"other","god",40,25,0.625
"other","gun",6,5,0.833333333333333
"other","guns",0,0,NA
"other","hustl",0,0,NA
"other","illegal",1,1,1
"other","ink",2,2,1
"other","insane",10,1,0.1
"other","insanity",1,0,0
"other","jesus",4,3,0.75
"other","kill",21,11,0.523809523809524
"other","knife",4,2,0.5
"other","knives",1,1,1
"other","lord",6,1,0.166666666666667
"other","maniac",1,1,1
"other","medicate",1,1,1
"other","murder",1,0,0
"other","poison",2,1,0.5
"other","pray",23,6,0.260869565217391
"other","priest",1,1,1
"other","psycho",1,0,0
"other","punch",2,2,1
"other","sanity",3,0,0
"other","scalpel",0,0,NA
"other","sin",4,1,0.25
"other","sinner",1,0,0
"other","sinning",0,0,NA
"other","sins",0,0,NA
"other","slap",0,0,NA
"other","slay",1,1,1
"other","stab",0,0,NA
"other","stabbed",1,0,0
"other","stabbing",0,0,NA
"other","stabs",0,0,NA
"other","suicidal",1,1,1
"other","suicide",0,0,NA
"other","tattoo",9,5,0.555555555555556
"other","thug",5,2,0.4
"other","toxic",1,0,0
"other","trigger",2,1,0.5
"other","unholy",1,1,1
"other","victim",1,1,1
"other","war",10,1,0.1
"other","weapon",1,1,1
"profanity","apeshit",1,1,1
"profanity","ass",14,14,1
"profanity","bitch",23,23,1
"profanity","crap",1,1,1
"profanity","dammit",2,2,1
"profanity","damn",37,33,0.891891891891892
"profanity","fuck",33,33,1
"profanity","hell",25,12,0.48
"profanity","hella",3,3,1
"profanity","hellish",1,1,1
"profanity","nigga",9,8,0.888888888888889
"profanity","piss",2,2,1
"profanity","retard",1,1,1
"profanity","savage",4,0,0
"profanity","shit",42,42,1
"sexual","bang",7,3,0.428571428571429
"sexual","bed",30,12,0.4
"sexual","bedroom",2,1,0.5
"sexual","beds",1,0,0
"sexual","bikini",2,2,1
"sexual","blew",2,1,0.5
"sexual","bodies",4,1,0.25
"sexual","body",27,12,0.444444444444444
"sexual","boob",2,2,1
"sexual","booty",8,7,0.875
"sexual","bra",0,0,NA
"sexual","bras",2,2,1
"sexual","breast",1,0,0
"sexual","bun",0,0,NA
"sexual","buns",2,2,1
"sexual","butt",0,0,NA
"sexual","butts",0,0,NA
"sexual","chest",11,4,0.363636363636364
"sexual","clothes",23,8,0.347826086956522
"sexual","cock",3,1,0.333333333333333
"sexual","coochie",2,2,1
"sexual","curve",1,1,1
"sexual","dick",2,2,1
"sexual","dirtier",0,0,NA
"sexual","dirty",10,3,0.3
"sexual","dong",0,0,NA
"sexual","donk",0,0,NA
"sexual","dress",12,4,0.333333333333333
"sexual","freak",13,9,0.692307692307692
"sexual","grind",4,1,0.25
"sexual","hip",1,0,0
"sexual","hips",5,1,0.2
"sexual","kiss",60,26,0.433333333333333
"sexual","leg",2,1,0.5
"sexual","legs",6,3,0.5
"sexual","lip",3,1,0.333333333333333
"sexual","lips",23,6,0.260869565217391
"sexual","masturbate",0,0,NA
"sexual","naked",4,3,0.75
"sexual","neck",7,5,0.714285714285714
"sexual","panties",1,1,1
"sexual","pimp",4,4,1
"sexual","pussies",0,0,NA
"sexual","pussy",0,0,NA
"sexual","scrotum",1,1,1
"sexual","sex",18,14,0.777777777777778
"sexual","skin",22,6,0.272727272727273
"sexual","skirt",5,2,0.4
"sexual","sleep",52,10,0.192307692307692
"sexual","thigh",1,1,1
"sexual","tit",0,0,NA
"sexual","tits",0,0,NA
"sexual","tongue",12,3,0.25
"sexual","touch",47,15,0.319148936170213
"sexual","underwear",0,0,NA
"sexual","undress",2,2,1
"sexual","waterbed",0,0,NA
